Name Type1 Type2 HP Attack Defense Sp.Atk Sp.Def Speed
Exeggcute Grass Psychic 60 40 80 60 45 40
Exeggutor Grass Psychic 95 95 85 125 65 55
Cubone Ground null 50 50 95 40 50 35
Marowak Ground null 60 80 110 50 80 45
Hitmonlee Fighting null 50 120 53 35 110 87
Hitmonchan Fighting null 50 105 79 35 110 76
Lickitung Normal null 90 55 75 60 75 30
Koffing Poison null 40 65 95 60 45 35
Weezing Poison null 65 90 120 85 70 60
Rhyhorn Ground Rock 80 85 95 30 30 25
Rhydon Ground Rock 105 130 120 45 45 40
Chansey Normal null 250 5 5 35 105 50
Tangela Grass null 65 55 115 100 40 60
Kangaskhan Normal null 105 95 80 40 80 90
Horsea Water null 30 40 70 70 25 60
Seadra Water null 55 65 95 95 45 85
Goldeen Water null 45 67 60 35 50 63
Seaking Water null 80 92 65 65 80 68
Staryu Water null 30 45 55 70 55 85
Starmie Water Psychic 60 75 85 100 85 115
"Mr. Mime" Psychic Fairy 40 45 65 100 120 90
Scyther Bug Flying 70 110 80 55 80 105
Jynx Ice Psychic 65 50 35 115 95 95
Electabuzz Electric null 65 83 57 95 85 105
Magmar Fire null 65 95 57 100 85 93
Pinsir Bug null 65 125 100 55 70 85
Tauros Normal null 75 100 95 40 70 110
Magikarp Water null 20 10 55 15 20 80
Gyarados Water Flying 95 125 79 60 100 81
Lapras Water Ice 130 85 80 85 95 60
Ditto Normal null 48 48 48 48 48 48
Eevee Normal null 55 55 50 45 65 55
Vaporeon Water null 130 65 60 110 95 65
Jolteon Electric null 65 65 60 110 95 130
Flareon Fire null 65 130 60 95 110 65
Porygon Normal null 65 60 70 85 75 40
Omanyte Rock Water 35 40 100 90 55 35
Omastar Rock Water 70 60 125 115 70 55
Kabuto Rock Water 30 80 90 55 45 55
Kabutops Rock Water 60 115 105 65 70 80
Aerodactyl Rock Flying 80 105 65 60 75 130
Snorlax Normal null 160 110 65 65 110 30
Articuno Ice Flying 90 85 100 95 125 85
Zapdos Electric Flying 90 90 85 125 90 100
Moltres Fire Flying 90 100 90 125 85 90
Dratini Dragon null 41 64 45 50 50 50
Dragonair Dragon null 61 84 65 70 70 70
Dragonite Dragon Flying 91 134 95 100 100 80
Mewtwo Psychic null 106 110 90 154 90 130
Mew Psychic null 100 100 100 100 100 100
